,Year,Month,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions),New Monthly Agents,New Monthly Mobile Money Accounts
194,2007,March,307,0.020992,0.021714,0.0643905,0.0,0.0
193,2007,April,362,0.054944,0.07,0.220896,55.0,33951.99999999999
192,2007,May,447,0.107733,0.15,0.483709,85.0,52788.99999999999
191,2007,June,527,0.175652,0.233661,0.720102,80.0,67919.0
190,2007,July,681,0.268499,0.354298,1.06537,154.0,92846.99999999999
189,2007,August,819,0.432555,0.516239,1.57991,138.0,164056.00000000003
188,2007,September,960,0.635761,0.669689,2.06969,141.0,203206.0
187,2007,October,1196,0.875962,0.958908,2.82955,236.0,240201.0
186,2007,November,1379,1.1332,1.22174,3.51495,183.0,257237.99999999997
185,2007,December,1582,1.34527,1.2741,3.77027,203.0,212069.99999999997
184,2008,January,1812,1.5891,1.34683,4.05904,230.0,243830.0
183,2008,February,2067,1.82153,1.7399,5.21979,255.0,232430.00000000015
182,2008,March,2329,2.07553,2.3975,6.74745,262.0,254000.0
181,2008,April,2606,2.37346,3.07289,8.38964,277.0,297930.0
180,2008,May,2770,2.71813,4.02127,10.9042,164.0,344669.9999999998
179,2008,June,3011,3.03852,4.20144,10.9172,241.0,320390.0000000002
178,2008,July,3378,3.36719,5.39108,14.0171,367.0,328669.99999999977
177,2008,August,3761,3.72618,6.34241,16.7563,383.0,358989.99999999994
176,2008,September,4230,4.14304,7.15191,19.2699,469.0,416860.00000000023
175,2008,October,4781,4.42028,8.30365,21.6007,551.0,277239.99999999994
174,2008,November,5399,4.75139,8.56681,21.7,618.0,331109.99999999977
173,2008,December,6104,5.08247,10.2051,26.99,705.0,331080.00000000006
172,2009,January,7304,5.47828,10.1906,27.0749,1200.0,395810.0
171,2009,February,7512,5.81602,11.0793,28.6863,208.0,337740.0000000002
170,2009,March,13358,6.28952,13.5541,33.8202,5846.0,473500.00000000047
169,2009,April,14790,6.53192,13.7796,34.0201,1432.0,242399.99999999994
168,2009,May,16029,6.8427,15.0488,36.8062,1239.0,310779.9999999994
167,2009,June,16641,7.19062,15.9846,38.1756,612.0,347920.00000000023
166,2009,July,18504,7.42641,16.8986,40.3374,1863.0,235789.9999999997
165,2009,August,18780,7.7141,17.0104,40.6787,276.0,287690.00000000047
164,2009,September,19803,8.01624,18.3703,45.3683,1023.0,302139.99999999965
163,2009,October,20631,8.36803,19.92,48.6365,828.0,351789.99999999936
162,2009,November,22476,8.61529,19.975,47.4656,1845.0,247260.0000000007
161,2009,December,23012,8.88258,21.6891,52.3417,536.0,267290.00000000093
160,2010,January,24850,9.4767,20.0767,48.4625,1838.0,594119.9999999984
159,2010,February,25394,9.67495,20.8087,49.9055,544.0,198250.0000000016
158,2010,March,27622,9.97211,24.0758,56.1167,2228.0,297159.9999999999
157,2010,April,29570,10.2026,22.6933,51.8136,1948.0,230489.99999999965
156,2010,May,31036,10.4928,24.6984,58.0795,1466.0,290200.00000000047
155,2010,June,31902,10.9147,25.0338,58.0993,866.0,421899.99999999907
154,2010,July,32974,13.4701,26.915,61.7728,1072.0,2555400.0000000005
153,2010,August,33864,14.5893,26.8233,61.531,890.0,1119199.9999999993
152,2010,September,35373,15.2239,29.4457,68.5062,1509.0,634600.0000000007
151,2010,October,37009,15.7346,31.3186,71.7947,1636.0,510699.99999999994
150,2010,November,38201,16.075,30.0386,70.2727,1192.0,340399.99999999895
149,2010,December,39449,16.4463,29.1183,75.8654,1248.0,371300.0000000015
148,2011,January,33968,16.6901,28.2047,75.4328,-5481.0,243800.00000000023
147,2011,February,34572,16.8928,28.5462,76.3366,604.0,202700.00000000012
146,2011,March,36198,17.4653,32.7301,88.9966,1626.0,572499.999999998
145,2011,April,37309,17.7573,32.4254,86.0877,1111.0,292000.0000000016
144,2011,May,38485,17.9239,35.3457,94.3724,1176.0,166599.99999999898
143,2011,June,42840,18.1469,35.8222,92.6437,4355.0,222999.99999999898
142,2011,July,43577,18.3082,37.9763,99.7104,737.0,161300.00000000067
141,2011,August,44762,18.6128,39.2993,107.424,1185.0,304600.00000000064
140,2011,September,46234,18.8916,39.2139,108.615,1472.0,278800.0000000004
139,2011,October,47874,19.2097,40.55,109.119,1640.0,318100.00000000116
138,2011,November,49091,19.46,41.1769,112.332,1217.0,250299.9999999993
137,2011,December,50471,19.191,41.7075,118.08,1380.0,-269000.0000000019
136,2012,January,52315,18.834,40.2449,114.06,1844.0,-356999.9999999993
135,2012,February,53685,18.7921,41.7805,116.691,1370.0,-41899.99999999827
134,2012,March,55726,19.2393,45.757,126.093,2041.0,447199.9999999987
133,2012,April,56717,19.53,44.35,117.36,991.0,290700.00000000105
132,2012,May,59057,19.6943,47.9655,128.403,2340.0,164299.99999999724
131,2012,June,61313,19.7956,47.8763,124.02,2256.0,101300.00000000195
130,2012,July,63165,19.58,49.35,129.28,1852.0,-215600.000000002
129,2012,August,64439,19.38,49.7,131.38,1274.0,-199999.9999999993
128,2012,September,67301,19.71,48.94,130.69,2862.0,330000.00000000186
127,2012,October,70972,20.02,51.89,137.68,3671.0,309999.9999999987
126,2012,November,75226,20.25,53.56,138.99,4254.0,230000.00000000044
125,2012,December,76912,21.06,55.96,150.16,1686.0,809999.9999999987
124,2013,January,85548,21.4181,53.4068,142.653,8636.0,358100.0000000003
123,2013,February,88393,21.8024,53.4683,141.126,2845.0,384299.99999999965
122,2013,March,93211,22.3292,52.3949,134.446,4818.0,526800.0000000015
121,2013,April,96319,23.0185,55.9993,142.609,3108.0,689299.9999999993
120,2013,May,100584,23.47,60.34,158.77,4265.0,451499.99999999936
119,2013,June,103165,23.75,60.03,152.5,2581.0,280000.00000000116
118,2013,July,105669,24.27,62.71,162.76,2504.0,519999.9999999996
117,2013,August,108559,23.87,64.71,168.1,2890.0,-399999.9999999986
116,2013,September,110432,23.97,63.43,165.59,1873.0,99999.99999999788
115,2013,October,111697,24.43,68.27,175.29,1265.0,460000.0000000009
114,2013,November,112947,24.9,68.7,175.22,1250.0,469999.99999999884
113,2013,December,113130,25.3263,69.1378,182.495,183.0,426300.0000000012
112,2014,January,114107,25.7568,67.0519,178.478,977.0,430499.99999999854
111,2014,February,115015,26.1164,65.5934,172.797,908.0,359600.00000000035
110,2014,March,116196,26.208,73.9817,192.695,1181.0,91599.99999999968
109,2014,April,116581,26.1399,72.0955,186.664,385.0,-68099.99999999761
108,2014,May,117807,25.8152,74.5472,198.131,1226.0,-324700.0
107,2014,June,120781,25.9284,74.0288,189.911,2974.0,113199.99999999908
106,2014,July,122462,26.2265,77.4651,200.992,1681.0,298100.0000000016
105,2014,August,124708,26.333,78.8987,206.72,2246.0,106499.99999999693
104,2014,September,124179,26.2995,78.1748,206.341,-529.0,-33500.00000000009
103,2014,October,128706,25.996,82.8925,210.277,4527.0,-303499.99999999965
102,2014,November,121419,24.9465,80.9984,203.239,-7287.0,-1049499.9999999984
101,2014,December,123703,25.2492,85.6071,225.549,2284.0,302699.99999999796
100,2015,January,125826,25.3972,81.6534,210.54,2123.0,148000.00000000323
99,2015,February,127187,25.4556,80.7405,208.132,1361.0,58399.999999998894
98,2015,March,128591,25.6902,90.3477,231.836,1404.0,234600.00000000035
97,2015,April,129218,26.1392,84.9056,213.746,627.0,448999.9999999981
96,2015,May,129735,26.4645,89.9024,230.152,517.0,325300.00000000215
95,2015,June,131761,26.5028,90.6686,227.921,2026.0,38299.999999999556
94,2015,July,133989,26.7382,93.9985,238.864,2228.0,235399.9999999985
93,2015,August,136042,27.0497,94.12,248.154,2053.0,311500.0000000023
92,2015,September,138131,27.312,96.32,247.506,2089.0,262299.99999999977
91,2015,October,140612,27.537,102.75,255.808,2481.0,224999.99999999788
90,2015,November,142386,28.064,101.33,236.372,1774.0,527000.000000001
89,2015,December,143946,28.6447,107.44,267.068,1560.0,580700.0000000002
88,2016,January,146710,29.0976,95.52,242.372,2764.0,452899.99999999965
87,2016,February,148982,29.489,100.983,257.185,2272.0,391400.0000000009
86,2016,March,150987,30.696,107.855,273.585,2005.0,1207000.0000000007
85,2016,April,153762,31.438,105.506,269.82,2775.0,741999.9999999973
84,2016,May,156349,31.296,107.821,277.94,2587.0,-141999.99999999945
83,2016,June,162465,31.386,106.342,270.973,6116.0,89999.99999999985
82,2016,July,167072,32.336,110.514,281.854,4607.0,949999.9999999993
81,2016,August,173774,32.757,114.156,297.229,6702.0,420999.99999999936
80,2016,September,173731,33.435,112.586,284.055,-43.0,678000.0000000044
79,2016,October,181456,34.037,122.45,292.092,7725.0,601999.9999999967
78,2016,November,162441,34.281,120.932,291.227,-19015.0,243999.99999999977
77,2016,December,165908,34.957,126.349,316.773,3467.0,676000.000000002
76,2017,January,152547,33.343,122.03,299.486,-13361.0,-1613999.9999999972
75,2017,February,154908,33.291,117.495,279.386,2361.0,-52000.00000000671
74,2017,March,157855,33.919,133.336,320.18,2947.0,628000.0000000001
73,2017,April,160076,34.286,128.885,297.437,2221.0,367000.0000000044
72,2017,May,164674,34.205,132.455,315.448,4598.0,-81000.00000000307
71,2017,June,165109,34.178,125.897,299.789,435.0,-27000.000000001022
70,2017,July,169480,34.578,128.105,308.893,4371.0,400000.0000000057
69,2017,August,167353,35.333,120.645,286.341,-2127.0,754999.9999999955
68,2017,September,167775,35.537,128.457,300.917,422.0,204000.0000000006
67,2017,October,170389,36.0008,134.198,299.018,2614.0,463799.9999999991
66,2017,November,176986,36.3906,131.738,298.957,6597.0,389800.00000000105
65,2017,December,182472,37.3868,139.934,332.622,5486.0,996200.0000000017
64,2018,January,188029,37.8418,136.658,322.984,5557.0,454999.9999999983
63,2018,February,192117,38.4185,132.297,300.852,4088.0,576700.0000000024
62,2018,March,196002,39.34,147.52,337.11,3885.0,921500.0000000017
61,2018,April,201795,40.2881,142.056,312.999,5793.0,948099.9999999966
60,2018,May,202387,41.729,140.954,328.97,592.0,1440899.999999999
59,2018,June,197286,42.581,137.412,317.671,-5101.0,852000.0000000038
58,2018,July,200227,42.613,143.087,332.352,2941.0,31999.999999996475
57,2018,August,202627,43.5588,149.517,348.912,2400.0,945799.9999999984
56,2018,September,203359,44.2723,145.988,327.663,732.0,713500.0000000034
55,2018,October,211961,45.4371,155.16,343.225,8602.0,1164799.9999999995
54,2018,November,206312,46.2334,153.15,343.866,-5649.0,796300.0000000022
53,2018,December,205745,47.6943,155.774,367.766,-567.0,1460899.999999995
52,2019,January,201336,40.2953,154.243,368.017,-4409.0,-7399000.000000001
51,2019,February,212252,50.04,144.49,328.15,10916.0,9744700.000000002
50,2019,March,226957,50.36,161.38,368.39,14705.0,320000.0000000003
49,2019,April,230220,52.0478,155.796,360.216,3263.0,1687800.0000000028
48,2019,May,224825,52.1958,153.257,364.254,-5395.0,147999.99999999613
47,2019,June,222484,46.8005,149.727,346.847,-2341.0,-5395299.999999999
46,2019,July,222087,53.887,152.979,366.386,-397.0,7086500.000000001
45,2019,August,222479,54.7751,151.828,368.504,392.0,888100.0000000014
44,2019,September,224959,55.7004,151.224,365.908,2480.0,925300.0
43,2019,October,223176,56.293,156.11,366.901,-1783.0,592599.9999999973
42,2019,November,222211,58.039,153.056,359.261,-965.0,1746000.0000000023
41,2019,December,224108,58.3613,154.99,382.93,1897.0,322299.9999999985
40,2020,January,231292,59.1672,150.204,371.9,7184.0,805900.0000000012
39,2020,February,235543,58.6665,148.53,350.481,4251.0,-500700.0000000019
38,2020,March,240261,58.7131,150.687,364.511,4718.0,46599.99999999798
37,2020,April,242275,59.4282,124.994,307.991,2014.0,715099.9999999997
36,2020,May,243118,60.2432,135.932,357.37,843.0,815000.0000000049
35,2020,June,237637,61.7261,143.14,392.172,-5481.0,1482900.0000000007
34,2020,July,234747,62.0651,157.755,450.981,-2890.0,338999.99999999866
33,2020,August,252703,62.7834,163.207,473.522,17956.0,718299.9999999993
32,2020,September,263200,64.0304,163.342,483.215,10497.0,1247000.0
31,2020,October,273531,65.255,174.106,528.904,10331.0,1224599.9999999953
30,2020,November,275960,65.7662,170.028,526.806,2429.0,511200.0000000023
29,2020,December,282929,66.01,181.37,605.69,6969.0,243800.00000000733
28,2021,January,287410,66.59,173.91,590.36,4481.0,579999.9999999983
27,2021,February,294111,67.16,164.2,567.99,6701.0,569999.9999999931
26,2021,March,293403,65.93,182.29,537.75,-708.0,-1229999.9999999898
25,2021,April,294706,67.11,173.35,502.22,1303.0,1179999.9999999925
24,2021,May,298883,67.77,180.76,536.69,4177.0,659999.9999999966
23,2021,June,301457,67.78,175.83,532.63,2574.0,10000.000000005115
22,2021,July,303718,68.54,184.0,587.98,2261.0,760000.0000000051
21,2021,August,304822,68.09,184.51,586.52,1104.0,-450000.00000000285
20,2021,September,305831,67.7,180.85,585.38,1009.0,-390000.0000000006
19,2021,October,295105,66.88,190.06,618.14,-10726.0,-820000.0000000073
18,2021,November,299053,67.15,185.98,600.97,3948.0,270000.00000001024
17,2021,December,298272,68.03,189.8,622.14,-781.0,879999.9999999955
16,2022,January,299860,68.28,181.85,585.82,1588.0,250000.0
15,2022,February,301108,67.94,171.39,568.71,1248.0,-340000.00000000343
14,2022,March,302837,68.62,195.82,664.31,1729.0,680000.0000000069
13,2022,April,295237,68.72,188.24,663.53,-7600.0,99999.99999999431
12,2022,May,305830,70.03,192.95,692.62,10593.0,1310000.0000000023
11,2022,June,304693,70.33,186.2,665.09,-1137.0,299999.99999999715
10,2022,July,309856,71.58,194.77,722.52,5163.0,1250000.0
9,2022,August,310450,70.06,184.81,677.36,594.0,-1519999.999999996
8,2022,September,308799,71.67,189.7,674.47,-1651.0,1609999.9999999995
7,2022,October,311957,73.22,196.93,646.5,3158.0,1549999.9999999972
6,2022,November,315240,73.22,190.46,639.84,3283.0,0.0
5,2022,December,317983,73.12,207.01,708.06,2743.0,-99999.99999999431
4,2023,January,319079,74.41,198.31,589.3,1096.0,1289999.999999992
3,2023,February,323613,74.04,184.82,578.09,4534.0,-369999.99999999034
2,2023,March,321149,73.72,204.83,645.8,-2464.0,-320000.0000000074
1,2023,April,329968,75.96,194.95,615.25,8819.0,2239999.999999995
0,2023,May,334726,77.34,205.88,670.44,4758.0,1380000.0000000098
